Player,Age,Team,ETV
Kylian Mbappé,25,Real Madrid,€151.4M
Erling Haaland,24,Man City,€149.3M
Jude Bellingham,21,Real Madrid,€145.3M
Vinicius Junior,24,Real Madrid,€129.4M
Bukayo Saka,23,Arsenal,€117.5M
Phil Foden,24,Man City,€116.1M
Rodrygo,23,Real Madrid,€113.2M
Jamal Musiala,21,Bayern,€110.6M
Harry Kane,31,Bayern,€109.4M
Eduardo Camavinga,21,Real Madrid,€106.9M
Rodri,28,Man City,€100.4M
Federico Valverde,26,Real Madrid,€96.6M
Kai Havertz,25,Arsenal,€95M
Lamine Yamal,17,Barcelona,€89.2M
Florian Wirtz,21,Bayer 04,€88.7M
Julián Alvarez,24,Atlético,€80.9M
William Saliba,23,Arsenal,€79.5M
Martin Ødegaard,25,Arsenal,€73.2M
Rúben Dias,27,Man City,€70.5M
Alexander Isak,25,Newcastle Utd.,€69.8M
Declan Rice,25,Arsenal,€69.1M
Khvicha Kvaratskhelia,23,Napoli,€68.3M
Cole Palmer,22,Chelsea,€67.3M
Lautaro Martínez,27,Inter,€66.8M
Bruno Guimarães,26,Newcastle Utd.,€65.3M
