name,numberOfPlayer,Poss,age,matches_played,starts,minutes,non_penalty_goals,penalty_goals,assists,yellow_cards,red_cards,xG,npxG,xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,GK_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Pass_Cmp_outcome,Pass_Off,Pass_Blocks,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live_Touches,Take_Att,Take_Succ,Take_Succ%,Take_Tkld,Take_Tkld%,Carries,Carries_TotDist,Carries_ProDist,Carries_ProgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Fls,Fld,Off,Crs,OG,Recov,Aerial_Won,Aerial_Lost,Aerial_Won%
Arsenal,25,58.2,25.0,38,418.0,3420.0,76.0,10.0,62.0,64.0,2.0,76.1,68.5,55.3,821.0,2106.0,N/a,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26,29.0,0.76,83.0,54.0,67.5,28.0,5.0,5.0,18.0,47.4,3.0,2.0,1.0,0.0,33.3,86,647,209.0,32.3,17.03,5.5,0.12,0.36,15.8,6.0,10.0,10.0,76.1,68.5,0.11,9.9,7.5,19094,22558,84.6,309533.0,102210.0,9719.0,10643.0,91.3,7809.0,8765.0,89.1,1178.0,2162.0,54.5,62.0,55.3,57.8,6.7,513.0,1546.0,548.0,68.0,2106.0,20941,1530.0,443.0,104.0,65.0,670.0,560.0,265.0,19094.0,87.0,319.0,610,348,257.0,246.0,107.0,271.0,543.0,49.9,272.0,26493,1974.0,6714.0,11407.0,8560.0,1480.0,26483.0,671.0,283.0,42.2,304.0,45.3,16297.0,81171.0,41510.0,821.0,575.0,327.0,525.0,375.0,391.0,394.0,87.0,670.0,1.0,1752.0,503.0,499.0,50.2
Aston Villa,31,53.1,26.9,38,418.0,3420.0,68.0,4.0,55.0,94.0,2.0,63.3,60.3,48.6,775.0,1451.0,N/a,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,61.0,1.61,173.0,115.0,65.3,20.0,8.0,10.0,8.0,21.1,2.0,1.0,1.0,0.0,50.0,72,511,182.0,35.6,13.45,4.79,0.13,0.37,16.0,15.0,4.0,4.0,63.3,60.3,0.12,8.7,7.7,16133,19363,83.3,281128.0,95293.0,7110.0,7878.0,90.3,7381.0,8273.0,89.2,1330.0,2368.0,56.2,55.0,48.6,42.5,6.4,398.0,1160.0,363.0,67.0,1451.0,17499,1817.0,628.0,80.0,95.0,651.0,613.0,231.0,16133.0,47.0,343.0,547,311,269.0,210.0,68.0,260.0,550.0,47.3,290.0,23058,2807.0,8170.0,9636.0,5459.0,1010.0,23054.0,757.0,345.0,45.6,315.0,41.6,14450.0,78599.0,41219.0,775.0,490.0,217.0,477.0,416.0,412.0,473.0,47.0,651.0,4.0,1619.0,334.0,363.0,47.9
Bournemouth,30,44.4,25.7,38,418.0,3420.0,50.0,2.0,39.0,79.0,3.0,55.9,53.6,40.5,709.0,1314.0,N/a,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,67.0,1.76,194.0,127.0,68.6,13.0,9.0,16.0,9.0,23.7,7.0,6.0,1.0,0.0,14.3,52,539,175.0,32.5,14.18,4.61,0.09,0.29,16.7,18.0,2.0,3.0,55.9,53.6,0.1,-3.9,-3.6,11899,15920,74.7,220978.0,83235.0,4976.0,5868.0,84.8,5270.0,6214.0,84.8,1393.0,2964.0,47.0,39.0,40.5,33.7,-1.5,414.0,1074.0,352.0,88.0,1314.0,14065,1799.0,419.0,48.0,91.0,709.0,774.0,235.0,11899.0,56.0,361.0,693,410,301.0,281.0,111.0,325.0,688.0,47.2,363.0,20700,2486.0,6820.0,8469.0,5686.0,1033.0,20697.0,872.0,382.0,43.8,414.0,47.5,11015.0,66369.0,34635.0,709.0,513.0,240.0,637.0,386.0,507.0,376.0,56.0,709.0,1.0,2013.0,582.0,671.0,46.4
Brentford,28,45.2,26.6,38,418.0,3420.0,51.0,3.0,38.0,89.0,2.0,58.2,56.0,42.7,505.0,1283.0,N/a,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,65.0,1.71,184.0,119.0,65.8,10.0,9.0,19.0,7.0,18.4,2.0,2.0,0.0,0.0,0.0,54,470,159.0,33.8,12.37,4.18,0.11,0.32,15.6,17.0,3.0,3.0,58.2,56.0,0.12,-4.2,-5.0,12551,16818,74.6,225971.0,88492.0,5616.0,6628.0,84.7,5236.0,6432.0,81.4,1382.0,2776.0,49.8,38.0,42.7,40.0,-4.7,332.0,965.0,333.0,106.0,1283.0,14996,1752.0,464.0,70.0,113.0,706.0,683.0,184.0,12551.0,70.0,357.0,677,399,349.0,250.0,78.0,317.0,697.0,45.5,380.0,21227,2878.0,7944.0,8253.0,5210.0,982.0,21224.0,577.0,243.0,42.1,269.0,46.6,10970.0,56621.0,29411.0,505.0,363.0,156.0,556.0,271.0,385.0,419.0,70.0,706.0,0.0,1892.0,632.0,607.0,51.0
Brighton,30,59.8,25.9,38,418.0,3420.0,45.0,5.0,36.0,90.0,3.0,56.8,52.2,41.6,864.0,1780.0,N/a,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,62.0,1.63,165.0,105.0,66.1,12.0,12.0,14.0,6.0,15.8,6.0,6.0,0.0,0.0,0.0,50,555,198.0,35.7,14.61,5.21,0.08,0.23,16.7,11.0,5.0,6.0,56.8,52.2,0.1,-6.8,-7.2,21810,25029,87.1,341060.0,113686.0,11574.0,12473.0,92.8,8261.0,9125.0,90.5,1296.0,2164.0,59.9,36.0,41.6,43.7,-5.6,429.0,1484.0,384.0,81.0,1780.0,23334,1611.0,511.0,62.0,76.0,671.0,541.0,206.0,21810.0,84.0,327.0,644,366,292.0,252.0,100.0,307.0,658.0,46.7,351.0,29112,3197.0,9449.0,13090.0,6766.0,1081.0,29106.0,715.0,297.0,41.5,322.0,45.0,19020.0,92960.0,48884.0,864.0,584.0,269.0,579.0,342.0,414.0,454.0,84.0,671.0,2.0,1751.0,406.0,345.0,54.1
Burnley,31,47.4,24.5,38,418.0,3420.0,37.0,3.0,30.0,77.0,7.0,40.6,38.3,29.7,727.0,1181.0,N/a,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,78.0,2.05,244.0,168.0,70.5,5.0,9.0,24.0,2.0,5.3,7.0,6.0,1.0,0.0,14.3,40,430,137.0,31.9,11.32,3.61,0.09,0.27,17.7,13.0,3.0,3.0,40.6,38.3,0.09,-0.6,-1.3,13937,17959,77.6,246047.0,83556.0,6311.0,7267.0,86.8,6017.0,7042.0,85.4,1324.0,2755.0,48.1,30.0,29.7,26.6,0.3,326.0,976.0,216.0,54.0,1181.0,16189,1694.0,445.0,49.0,77.0,550.0,670.0,180.0,13937.0,76.0,344.0,607,342,282.0,247.0,78.0,284.0,584.0,48.6,300.0,22181,2907.0,8021.0,9196.0,5155.0,819.0,22178.0,699.0,300.0,42.9,329.0,47.1,12244.0,66914.0,35421.0,727.0,460.0,240.0,517.0,296.0,429.0,353.0,76.0,550.0,3.0,1727.0,561.0,696.0,44.6
Chelsea,32,58.6,24.2,38,418.0,3420.0,65.0,11.0,51.0,109.0,4.0,74.5,65.1,51.4,873.0,1615.0,N/a,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,63.0,1.66,186.0,125.0,67.7,18.0,9.0,11.0,8.0,21.1,5.0,3.0,1.0,1.0,25.0,76,537,194.0,36.1,14.13,5.11,0.12,0.34,17.3,22.0,11.0,12.0,74.5,65.1,0.12,1.5,-0.1,20039,23364,85.8,328448.0,109853.0,10006.0,10877.0,92.0,8176.0,9060.0,90.2,1365.0,2328.0,58.6,51.0,51.4,43.1,-0.4,419.0,1351.0,352.0,51.0,1615.0,21587,1692.0,496.0,116.0,101.0,558.0,611.0,202.0,20039.0,85.0,348.0,663,376,325.0,235.0,103.0,323.0,630.0,51.3,307.0,27725,3035.0,9367.0,12068.0,6558.0,1039.0,27713.0,869.0,398.0,45.8,365.0,42.0,16624.0,84615.0,44082.0,873.0,543.0,291.0,604.0,370.0,446.0,451.0,85.0,558.0,3.0,1846.0,440.0,402.0,52.3
Crystal Palace,26,42.3,26.7,38,418.0,3420.0,52.0,4.0,43.0,73.0,2.0,48.6,45.4,38.7,506.0,1176.0,N/a,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,58.0,1.53,154.0,98.0,64.3,13.0,10.0,15.0,10.0,26.3,3.0,3.0,0.0,0.0,0.0,56,452,162.0,35.8,11.89,4.26,0.12,0.32,17.2,20.0,4.0,4.0,48.6,45.4,0.1,7.4,6.6,12915,16754,77.1,225542.0,84922.0,6040.0,6920.0,87.3,5338.0,6287.0,84.9,1204.0,2608.0,46.2,43.0,38.7,31.5,4.3,353.0,995.0,273.0,60.0,1176.0,14948,1734.0,484.0,52.0,97.0,583.0,721.0,178.0,12915.0,72.0,366.0,788,464,373.0,301.0,114.0,337.0,609.0,55.3,272.0,21367,2349.0,7237.0,9279.0,5077.0,797.0,21363.0,737.0,341.0,46.3,320.0,43.4,10943.0,55546.0,26838.0,506.0,383.0,170.0,606.0,426.0,457.0,427.0,72.0,583.0,2.0,1909.0,553.0,555.0,49.9
Everton,26,40.8,27.1,38,418.0,3420.0,38.0,2.0,17.0,82.0,1.0,54.0,51.6,38.1,495.0,1129.0,N/a,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,51.0,1.34,165.0,117.0,73.9,13.0,9.0,16.0,13.0,34.2,8.0,8.0,0.0,0.0,0.0,40,504,152.0,30.2,13.26,4.0,0.08,0.25,16.7,14.0,2.0,3.0,54.0,51.6,0.11,-14.0,-13.6,11349,15514,73.2,208537.0,88374.0,5198.0,6091.0,85.3,4386.0,5405.0,81.1,1469.0,3057.0,48.1,17.0,38.1,31.8,-21.1,339.0,958.0,284.0,77.0,1129.0,13704,1721.0,409.0,45.0,78.0,752.0,768.0,181.0,11349.0,89.0,347.0,743,442,371.0,261.0,111.0,347.0,701.0,49.5,354.0,20053,2568.0,6792.0,8180.0,5283.0,809.0,20050.0,564.0,250.0,44.3,267.0,47.3,9770.0,52160.0,25904.0,495.0,389.0,127.0,560.0,320.0,457.0,361.0,89.0,752.0,3.0,1970.0,676.0,577.0,54.0
Fulham,25,50.6,28.4,38,418.0,3420.0,52.0,2.0,40.0,84.0,4.0,50.8,49.2,37.6,670.0,1467.0,N/a,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,61.0,1.61,190.0,133.0,72.1,13.0,8.0,17.0,10.0,26.3,8.0,8.0,0.0,0.0,0.0,54,499,175.0,35.1,13.13,4.61,0.1,0.3,17.0,14.0,2.0,2.0,50.8,49.2,0.1,3.2,2.8,16311,20237,80.6,290238.0,100538.0,7028.0,7907.0,88.9,7277.0,8347.0,87.2,1586.0,2853.0,55.6,40.0,37.6,33.6,2.4,379.0,1117.0,355.0,94.0,1467.0,18414,1772.0,464.0,58.0,118.0,736.0,696.0,212.0,16311.0,51.0,421.0,679,384,339.0,260.0,80.0,346.0,678.0,51.0,332.0,24318,2792.0,8619.0,10359.0,5568.0,849.0,24316.0,550.0,271.0,49.3,232.0,42.2,13883.0,72675.0,36777.0,670.0,508.0,151.0,520.0,325.0,384.0,364.0,51.0,736.0,4.0,1837.0,487.0,509.0,48.9
