Player,From,To,Price
Demi Akarakiri,Arsenal,Everton,Free
Kain Ryan,Brighton,Coventry,Free
Nicksoen Gomis,Sheff Utd,Toronto,Free
Richie Laryea,Nottingham,Toronto,€0.7M
Bruno Jordão,Wolverhampton,Radomiak,Free
Charlie Wiggett,Newcastle Utd.,Sligo,Free
Serge Aurier,Nottingham,Galatasaray,€0.1M
Alfie Harrison,Man City,Newcastle Utd.,€1M
Bertrand Traoré,Aston Villa,Villarreal,Free
Matz Sels,Strasbourg,Nottingham,€8M
John Fleck,Sheff Utd,Blackburn,Free
Thierry Small,Southampton,Charlton Athletic,Free
Adam Wharton,Blackburn,C. Palace,€21.1M
Joe Gauci,Adelaide,Aston Villa,€1.5M
Theo Corbeanu,Wolverhampton,Granada,€1.5M
Morgan Rogers,Middlesbrough,Aston Villa,€9.4M
Pablo Fornals,West Ham United,Real Betis,€8M
Isak Hansen-Aarøen,Man Utd,Werder,€0.3M
Rúnar Alex,Arsenal,Kobenhavn,Free
Miguel Azeez,Arsenal,At. Baleares,Free
Hugo Lloris,Tottenham,LAFC,Free
Zack Steffen,Man City,Colorado,Free
Daniel Muñoz,Genk,C. Palace,€8M
Daiki Hashioka,Sint-Truiden,Luton,€2M
Jonny Otto,Wolverhampton,PAOK,Free
Hákon Rafn,Elfsborg,Brentford,€3M
Ivo Grbic,Atlético,Sheff Utd,€2.5M
Sam Curtis,St Patrick`s,Sheff Utd,Free
Claudio Echeverri,River Plate,Man City,€18.5M
Jezreel Davies,Burnley,Salford,Free
Billy Bates,West Ham United,Cheshunt FC,Free
Kosta Nedeljkovic,Crvena Zvezda,Aston Villa,€7.6M
Javier Manquillo,Newcastle Utd.,Celta,Free
Valentín Barco,Boca Juniors,Brighton,€9.2M
Archie Woods,West Ham United,Dubai City FC,Free
Slobodan Tedic,Man City,Cukaricki,Free
Mateo Mejía,Man Utd,Sevilla,Free
Kyle Edwards,Ipswich Town,Oxford,Free
Caolan McBride,Aston Villa,Newington FC,Free
Conor Coventry,West Ham United,Charlton Athletic,€1.2M
Yunus Emre,Sivasspor,Brentford,€4.5M
Radu Drăgușin,Genoa,Tottenham,€25M
Gustavo Scarpa,Nottingham,Atletico Mineiro,€5M
Finn Azaz,Aston Villa,Middlesbrough,€2.9M
Nahuel Ferraresi,Man City,Sao Paulo,€4.3M
Ethan Fitzhugh,Leicester,Banbury United,Free
Adrian Mazilu,Viitorul,Brighton,€3M
Jean-Pierre Tiéhi,Fulham,AEK,Free
Evan Easton,Celtic,Sheff Utd,Free
Marcelo Flores,Arsenal,Tigres,€0.8M
Nicolas Pépé,Arsenal,Trabzonspor,Free
Christian Marques,Wolverhampton,Yverdon,Free
Demarai Gray,Everton,Al-Ettifaq,€9.3M
Moussa Djenepo,Southampton,Standard,€3.5M
Andi Zeqiri,Brighton,Genk,€2.8M
Declan Frith,Aston Villa,Valencia,Free
Eric Bailly,Man Utd,Besiktas,Free
Davinson Sánchez,Tottenham,Galatasaray,€9.5M
Dylan Scicluna,Wolverhampton,West Sydney,Free
Anthony Knockaert,Fulham,Valenciennes,Free
Malik Mothersille,Chelsea,Peterborough,Free
Alex Gibson-Hammond,Nottingham,Derby,Free
Vicente Guaita,C. Palace,Celta,Free
Kalani Barton,C. Palace,Leatherhead FC,Free
Tom Cannon,Everton,Leicester,€8.8M
Jaden Philogene,Aston Villa,Hull City,€5.8M
Andrew Omobamidele,Norwich,Nottingham,€12.9M
Nicolás Domínguez,Bologna,Nottingham,€10M
Jean-Ricner Bellegarde,Strasbourg,Wolverhampton,€15M
Ross Stewart,Sunderland,Southampton,€9.3M
Alex Iwobi,Everton,Fulham,€25.7M
Ibrahim Sangaré,PSV,Nottingham,€35M
Rob Holding,Arsenal,C. Palace,€1.2M
Brennan Johnson,Nottingham,Tottenham,€55M
Odysseas Vlachodimos,Benfica,Nottingham,€4.9M
Ryan Gravenberch,Bayern,Liverpool,€40M
Cole Palmer,Man City,Chelsea,€47M
Callum Hudson-Odoi,Chelsea,Nottingham,€3.5M
Altay Bayindir,Fenerbahce,Man Utd,€5M
Keinan Davis,Aston Villa,Udinese,€2.3M
Matheus Nunes,Wolverhampton,Man City,€62M
Mikki van,Man City,Feyenoord,Free
Brad Young,Aston Villa,The New Saints,Free
Silko Thomas,Chelsea,Leicester,Free
Jamal Baptiste,West Ham United,Man City,Free
Jayden Wareham,Chelsea,Reading,Free
Charlie Wellens,Man Utd,Reading,Free
Murillo D,Corinthians,Nottingham,€12M
Han-Noah Massengo,Bristol City,Burnley,Free
Santiago Bueno,Girona,Wolverhampton,€12M
Tiemoué Bakayoko,Chelsea,Lorient,Free
Andy Irving,Austria,West Ham United,€1.8M
Dean Henderson,Man Utd,C. Palace,€17.5M
Toby Bull,Brighton,Eastbourne Town,Free
